"thread_title";"thread_title_link";"author";"replies";"views";"lastuser";"lastuser_link";"lastpost_link";"lastpost_datetime"
"Frustrated";"http://www.cancerforums.net/threads/43045-Frustrated";"rwewpar4";9;2;"Jim215";"http://www.cancerforums.net/members/110833-Jim215";"http://www.cancerforums.net/threads/43045-Frustrated?p=270746#post270746";"02-21-2015, 12:56 AM"
"Funny communication error";"http://www.cancerforums.net/threads/47448-Funny-communication-error";"Now";1;479;"HighlanderCFH";"http://www.cancerforums.net/members/27612-HighlanderCFH";"http://www.cancerforums.net/threads/47448-Funny-communication-error?p=305114#post305114";"03-15-2016, 02:35 AM"
"Further action following testing for P.C";"http://www.cancerforums.net/threads/37178-Further-action-following-testing-for-P-C";"Leob";15;4;"Leob";"http://www.cancerforums.net/members/106582-Leob";"http://www.cancerforums.net/threads/37178-Further-action-following-testing-for-P-C?p=234280#post234280";"04-08-2014, 10:27 AM"
"G6 Prostate Cancer and AS";"http://www.cancerforums.net/threads/45557-G6-Prostate-Cancer-and-AS";"newporter";14;4;"NYC GMAN";"http://www.cancerforums.net/members/106977-NYC-GMAN";"http://www.cancerforums.net/threads/45557-G6-Prostate-Cancer-and-AS?p=304257#post304257";"03-03-2016, 12:55 AM"
"Galeterone trial use....";"http://www.cancerforums.net/threads/47864-Galeterone-trial-use";"WifeinWorry";1;417;"Fairwind";"http://www.cancerforums.net/members/20405-Fairwind";"http://www.cancerforums.net/threads/47864-Galeterone-trial-use?p=308219#post308219";"05-01-2016, 06:56 PM"
"Gat Goren - anyone went through it? - comments?";"http://www.cancerforums.net/threads/22818-Gat-Goren-anyone-went-through-it-comments";"JJ44";6;8;"Jim215";"http://www.cancerforums.net/members/110833-Jim215";"http://www.cancerforums.net/threads/22818-Gat-Goren-anyone-went-through-it-comments?p=258270#post258270";"11-04-2014, 01:20 AM"
"Gay, single and newly diagnosed with prostate cancer.";"http://www.cancerforums.net/threads/21309-Gay-single-and-newly-diagnosed-with-prostate-cancer";"okadam";28;10;"MartyAtx";"http://www.cancerforums.net/members/99773-MartyAtx";"http://www.cancerforums.net/threads/21309-Gay-single-and-newly-diagnosed-with-prostate-cancer?p=225187#post225187";"02-05-2014, 02:28 AM"
"General life expectancy advanced cancer";"http://www.cancerforums.net/threads/14494-General-life-expectancy-advanced-cancer";"lee";6;4;"neutrondbob";"http://www.cancerforums.net/members/14910-neutrondbob";"http://www.cancerforums.net/threads/14494-General-life-expectancy-advanced-cancer?p=76134#post76134";"10-02-2010, 08:43 PM"
"Generic Cialis?";"http://www.cancerforums.net/threads/47371-Generic-Cialis";"Badman";24;3;"PDV";"http://www.cancerforums.net/members/116780-PDV";"http://www.cancerforums.net/threads/47371-Generic-Cialis?p=306385#post306385";"04-05-2016, 10:05 PM"
"Generic drugs for prostate cancer??";"http://www.cancerforums.net/threads/46003-Generic-drugs-for-prostate-cancer";"cgoodman";3;1;"ASAdvocate";"http://www.cancerforums.net/members/113924-ASAdvocate";"http://www.cancerforums.net/threads/46003-Generic-drugs-for-prostate-cancer?p=293196#post293196";"10-08-2015, 03:25 AM"
"Generic Viagra in Mexico";"http://www.cancerforums.net/threads/43860-Generic-Viagra-in-Mexico";"Race";4;1;"GeorgeS";"http://www.cancerforums.net/members/112617-GeorgeS";"http://www.cancerforums.net/threads/43860-Generic-Viagra-in-Mexico?p=277590#post277590";"04-20-2015, 01:51 AM"
"Genetic tests to gauge prostate cancer aggressiveness";"http://www.cancerforums.net/threads/31239-Genetic-tests-to-gauge-prostate-cancer-aggressiveness";"lancepeace";5;1;"newporter";"http://www.cancerforums.net/members/21257-newporter";"http://www.cancerforums.net/threads/31239-Genetic-tests-to-gauge-prostate-cancer-aggressiveness?p=186919#post186919";"05-13-2013, 11:24 PM"
"Genome test for Prostate CA after RP in 2009";"http://www.cancerforums.net/threads/42118-Genome-test-for-Prostate-CA-after-RP-in-2009";"thinders1951";1;683;"ASAdvocate";"http://www.cancerforums.net/members/113924-ASAdvocate";"http://www.cancerforums.net/threads/42118-Genome-test-for-Prostate-CA-after-RP-in-2009?p=262819#post262819";"12-15-2014, 05:02 AM"
"GenomeDX";"http://www.cancerforums.net/threads/33706-GenomeDX";"MartyAtx";0;636;"MartyAtx";"http://www.cancerforums.net/members/99773-MartyAtx";"http://www.cancerforums.net/threads/33706-GenomeDX?p=205293#post205293";"09-13-2013, 06:51 PM"
"Getting Biopsy in Two Weeks";"http://www.cancerforums.net/threads/23705-Getting-Biopsy-in-Two-Weeks";"Davidhp";34;8;"ThatBiopsyHurt";"http://www.cancerforums.net/members/28389-ThatBiopsyHurt";"http://www.cancerforums.net/threads/23705-Getting-Biopsy-in-Two-Weeks?p=144685#post144685";"09-07-2012, 01:17 AM"
"Getting close...getting nervous";"http://www.cancerforums.net/threads/45824-Getting-close-getting-nervous";"jlynn6864";32;5;"Pratoman";"http://www.cancerforums.net/members/71581-Pratoman";"http://www.cancerforums.net/threads/45824-Getting-close-getting-nervous?p=292349#post292349";"09-30-2015, 10:53 AM"
"Getting Closer To Surgery";"http://www.cancerforums.net/threads/27122-Getting-Closer-To-Surgery";"Sarg";2;1;"newporter";"http://www.cancerforums.net/members/21257-newporter";"http://www.cancerforums.net/threads/27122-Getting-Closer-To-Surgery?p=158007#post158007";"11-30-2012, 11:27 PM"
"Getting ready for chemo on Saturday";"http://www.cancerforums.net/threads/46345-Getting-ready-for-chemo-on-Saturday";"nrhk";7;1;"nrhk";"http://www.cancerforums.net/members/117703-nrhk";"http://www.cancerforums.net/threads/46345-Getting-ready-for-chemo-on-Saturday?p=296511#post296511";"11-18-2015, 04:25 PM"
"Getting Ready for Post Prostatectomy Radiation";"http://www.cancerforums.net/threads/48853-Getting-Ready-for-Post-Prostatectomy-Radiation";"trinity3";11;1;"trinity3";"http://www.cancerforums.net/members/112782-trinity3";"http://www.cancerforums.net/threads/48853-Getting-Ready-for-Post-Prostatectomy-Radiation?p=318137#post318137";"09-17-2016, 06:02 PM"
"Getting ready for recovery";"http://www.cancerforums.net/threads/44292-Getting-ready-for-recovery";"Dogdollar";30;6;"Ray61";"http://www.cancerforums.net/members/114612-Ray61";"http://www.cancerforums.net/threads/44292-Getting-ready-for-recovery?p=281708#post281708";"06-04-2015, 03:29 PM"
"Getting ready for the Knockdown....";"http://www.cancerforums.net/threads/49114-Getting-ready-for-the-Knockdown";"fl";3;441;"Jim Mahoney";"http://www.cancerforums.net/members/120095-Jim-Mahoney";"http://www.cancerforums.net/threads/49114-Getting-ready-for-the-Knockdown?p=319702#post319702";"10-08-2016, 04:45 PM"
"Getting Started";"http://www.cancerforums.net/threads/14402-Getting-Started";"JNF";4;2;"Fairwind";"http://www.cancerforums.net/members/20405-Fairwind";"http://www.cancerforums.net/threads/14402-Getting-Started?p=75590#post75590";"09-22-2010, 04:09 PM"
"Getting to the other side";"http://www.cancerforums.net/threads/29026-Getting-to-the-other-side";"rr1042";1;1;"FeatherBoy";"http://www.cancerforums.net/members/48062-FeatherBoy";"http://www.cancerforums.net/threads/29026-Getting-to-the-other-side?p=169617#post169617";"01-30-2013, 10:42 PM"
"Getting tough to deal with";"http://www.cancerforums.net/threads/47669-Getting-tough-to-deal-with";"jfredfc";19;3;"Now What?";"http://www.cancerforums.net/members/117838-Now-What";"http://www.cancerforums.net/threads/47669-Getting-tough-to-deal-with?p=308190#post308190";"05-01-2016, 02:27 AM"
"Getting Viagra, Cialis etc. Online (not spam)";"http://www.cancerforums.net/threads/22031-Getting-Viagra-Cialis-etc-Online-(not-spam)";"Scott111";2;3;"joedublin";"http://www.cancerforums.net/members/28569-joedublin";"http://www.cancerforums.net/threads/22031-Getting-Viagra-Cialis-etc-Online-(not-spam)?p=123185#post123185";"03-10-2012, 07:16 PM"
"Gift to get patient?";"http://www.cancerforums.net/threads/17428-Gift-to-get-patient";"Dippin";3;3;"Dippin";"http://www.cancerforums.net/members/24761-Dippin";"http://www.cancerforums.net/threads/17428-Gift-to-get-patient?p=91529#post91529";"06-04-2011, 06:36 PM"
"Glad tidings to all";"http://www.cancerforums.net/threads/46708-Glad-tidings-to-all";"PDV";8;1;"Pratoman";"http://www.cancerforums.net/members/71581-Pratoman";"http://www.cancerforums.net/threads/46708-Glad-tidings-to-all?p=298927#post298927";"12-24-2015, 08:57 PM"
"Glaucoma and robotic surgery.";"http://www.cancerforums.net/threads/48940-Glaucoma-and-robotic-surgery";"toloh";9;727;"HighlanderCFH";"http://www.cancerforums.net/members/27612-HighlanderCFH";"http://www.cancerforums.net/threads/48940-Glaucoma-and-robotic-surgery?p=318113#post318113";"09-17-2016, 06:24 AM"
"Gleason 10 - further treatment confused";"http://www.cancerforums.net/threads/49456-Gleason-10-further-treatment-confused?s=7425222891ad50eb28bb980913228222";"Jack1954";4;135;"Michael F";"http://www.cancerforums.net/members/109130-Michael-F?s=7425222891ad50eb28bb980913228222";"http://www.cancerforums.net/threads/49456-Gleason-10-further-treatment-confused?s=7425222891ad50eb28bb980913228222&p=322391#post322391";"Today, 03:34 PM"
"Gleason 3+3, Age 57";"http://www.cancerforums.net/threads/40157-Gleason-3-3-Age-57";"Kens";92;19;"CPO2CWO";"http://www.cancerforums.net/members/107627-CPO2CWO";"http://www.cancerforums.net/threads/40157-Gleason-3-3-Age-57?p=250942#post250942";"08-29-2014, 03:39 AM"
"Gleason 3+4 / 3+3, stage T3NxM0 questions";"http://www.cancerforums.net/threads/46609-Gleason-3-4-3-3-stage-T3NxM0-questions";"Nightingale";5;1;"HighlanderCFH";"http://www.cancerforums.net/members/27612-HighlanderCFH";"http://www.cancerforums.net/threads/46609-Gleason-3-4-3-3-stage-T3NxM0-questions?p=297961#post297961";"12-10-2015, 06:11 PM"
"Gleason 4+4, Starting Lupron";"http://www.cancerforums.net/threads/41902-Gleason-4-4-Starting-Lupron";"timfc";8;1;"HighlanderCFH";"http://www.cancerforums.net/members/27612-HighlanderCFH";"http://www.cancerforums.net/threads/41902-Gleason-4-4-Starting-Lupron?p=261541#post261541";"12-03-2014, 03:19 AM"
"Gleason 5+4, bone scan clear, PSA 27, MRI shows tumour confined to prostate...";"http://www.cancerforums.net/threads/30909-Gleason-5-4-bone-scan-clear-PSA-27-MRI-shows-tumour-confined-to-prostate";"donelson";10;6;"Fairwind";"http://www.cancerforums.net/members/20405-Fairwind";"http://www.cancerforums.net/threads/30909-Gleason-5-4-bone-scan-clear-PSA-27-MRI-shows-tumour-confined-to-prostate?p=184082#post184082";"04-24-2013, 04:18 AM"
"Gleason 6";"http://www.cancerforums.net/threads/41647-Gleason-6";"Engel9";12;3;"ddayglo";"http://www.cancerforums.net/members/104661-ddayglo";"http://www.cancerforums.net/threads/41647-Gleason-6?p=260357#post260357";"11-21-2014, 05:09 PM"
"Gleason 6, Should I press for surgery?";"http://www.cancerforums.net/threads/44639-Gleason-6-Should-I-press-for-surgery";"FredH";9;2;"lancepeace";"http://www.cancerforums.net/members/24104-lancepeace";"http://www.cancerforums.net/threads/44639-Gleason-6-Should-I-press-for-surgery?p=283610#post283610";"06-25-2015, 01:12 PM"
"Gleason 6; PSA 8.3; Stage 1 or 2.. concerned son looking for help";"http://www.cancerforums.net/threads/17623-Gleason-6-PSA-8-3-Stage-1-or-2-concerned-son-looking-for-help";"joeybacs";4;4;"Woody NF";"http://www.cancerforums.net/members/22992-Woody-NF";"http://www.cancerforums.net/threads/17623-Gleason-6-PSA-8-3-Stage-1-or-2-concerned-son-looking-for-help?p=93590#post93590";"06-29-2011, 12:16 PM"
"Gleason 7 - Other Factors ""minimal""";"http://www.cancerforums.net/threads/26533-Gleason-7-Other-Factors-quot-minimal-quot";"hunter548";6;2;"newporter";"http://www.cancerforums.net/members/21257-newporter";"http://www.cancerforums.net/threads/26533-Gleason-7-Other-Factors-quot-minimal-quot?p=153870#post153870";"11-07-2012, 01:40 AM"
"Gleason 7, Tertiary Pattern Grade 5 Post - RRP";"http://www.cancerforums.net/threads/42082-Gleason-7-Tertiary-Pattern-Grade-5-Post-RRP";"Martin";2;1;"Pratoman";"http://www.cancerforums.net/members/71581-Pratoman";"http://www.cancerforums.net/threads/42082-Gleason-7-Tertiary-Pattern-Grade-5-Post-RRP?p=262629#post262629";"12-13-2014, 03:34 PM"
"Gleason 9";"http://www.cancerforums.net/threads/34706-Gleason-9";"dougswife";14;5;"San635";"http://www.cancerforums.net/members/107909-San635";"http://www.cancerforums.net/threads/34706-Gleason-9?p=215050#post215050";"11-22-2013, 01:24 PM"
"Gleason 9 - First PSA post-surgery";"http://www.cancerforums.net/threads/46015-Gleason-9-First-PSA-post-surgery";"KenHayes";10;2;"Wilde";"http://www.cancerforums.net/members/113837-Wilde";"http://www.cancerforums.net/threads/46015-Gleason-9-First-PSA-post-surgery?p=293501#post293501";"10-11-2015, 04:29 PM"
"Gleason 9 - PSA rising - Advice needed";"http://www.cancerforums.net/threads/23822-Gleason-9-PSA-rising-Advice-needed";"4mihusband";4;3;"Fairwind";"http://www.cancerforums.net/members/20405-Fairwind";"http://www.cancerforums.net/threads/23822-Gleason-9-PSA-rising-Advice-needed?p=134744#post134744";"06-23-2012, 02:35 AM"
"Gleason 9 4+5 in the capsule. Need opinions";"http://www.cancerforums.net/threads/24121-Gleason-9-4-5-in-the-capsule-Need-opinions";"fasteddie";2;2;"Fairwind";"http://www.cancerforums.net/members/20405-Fairwind";"http://www.cancerforums.net/threads/24121-Gleason-9-4-5-in-the-capsule-Need-opinions?p=136650#post136650";"07-11-2012, 02:59 AM"
"Gleason 9 : Who out there is in the same boat?";"http://www.cancerforums.net/threads/28913-Gleason-9-Who-out-there-is-in-the-same-boat";"fasteddie";7;3;"fasteddie";"http://www.cancerforums.net/members/29939-fasteddie";"http://www.cancerforums.net/threads/28913-Gleason-9-Who-out-there-is-in-the-same-boat?p=168864#post168864";"01-27-2013, 01:24 AM"
"Gleason 9 t3a.....";"http://www.cancerforums.net/threads/17883-Gleason-9-t3a";"sapporo";4;4;"sapporo";"http://www.cancerforums.net/members/23785-sapporo";"http://www.cancerforums.net/threads/17883-Gleason-9-t3a?p=94278#post94278";"07-08-2011, 11:04 AM"
"Gleason 9, PSA 18";"http://www.cancerforums.net/threads/40020-Gleason-9-PSA-18";"loves";91;25;"loves";"http://www.cancerforums.net/members/112100-loves";"http://www.cancerforums.net/threads/40020-Gleason-9-PSA-18?p=292247#post292247";"09-29-2015, 11:15 AM"
"Gleason downgraded - AS now a good option?";"http://www.cancerforums.net/threads/34154-Gleason-downgraded-AS-now-a-good-option";"SamInToronto";14;4;"HighlanderCFH";"http://www.cancerforums.net/members/27612-HighlanderCFH";"http://www.cancerforums.net/threads/34154-Gleason-downgraded-AS-now-a-good-option?p=210749#post210749";"10-23-2013, 01:38 AM"
"Gleason Nine...";"http://www.cancerforums.net/threads/13661-Gleason-Nine";"Fairwind";24;11;"sancarlos";"http://www.cancerforums.net/members/19073-sancarlos";"http://www.cancerforums.net/threads/13661-Gleason-Nine?p=75404#post75404";"09-17-2010, 09:44 PM"
"Gleason of 7 (3+4) How aggressive is this score!! New dx.";"http://www.cancerforums.net/threads/18756-Gleason-of-7-(3-4)-How-aggressive-is-this-score!!-New-dx";"jean92";12;14;"azgreywolf";"http://www.cancerforums.net/members/26907-azgreywolf";"http://www.cancerforums.net/threads/18756-Gleason-of-7-(3-4)-How-aggressive-is-this-score!!-New-dx?p=103157#post103157";"10-03-2011, 10:43 PM"
"Gleason Score";"http://www.cancerforums.net/threads/16908-Gleason-Score";"Dan62";1;1;"Fairwind";"http://www.cancerforums.net/members/20405-Fairwind";"http://www.cancerforums.net/threads/16908-Gleason-Score?p=88859#post88859";"04-29-2011, 12:36 AM"
"Gleason score 7's & 8's";"http://www.cancerforums.net/threads/39529-Gleason-score-7-s-amp-8-s";"ru4rhino";4;2;"Fairwind";"http://www.cancerforums.net/members/20405-Fairwind";"http://www.cancerforums.net/threads/39529-Gleason-score-7-s-amp-8-s?p=245150#post245150";"07-04-2014, 08:44 PM"
"gleason score of ten";"http://www.cancerforums.net/threads/46920-gleason-score-of-ten";"barryvanriper";6;1;"GeorgeS";"http://www.cancerforums.net/members/112617-GeorgeS";"http://www.cancerforums.net/threads/46920-gleason-score-of-ten?p=300923#post300923";"01-19-2016, 01:33 AM"
"Gleason score was 9 in April 2013. Had radiation and Lupron injections";"http://www.cancerforums.net/threads/45569-Gleason-score-was-9-in-April-2013-Had-radiation-and-Lupron-injections";"Jazzig63";13;3;"Centexxx";"http://www.cancerforums.net/members/117227-Centexxx";"http://www.cancerforums.net/threads/45569-Gleason-score-was-9-in-April-2013-Had-radiation-and-Lupron-injections?p=290883#post290883";"09-14-2015, 07:36 AM"
"Gleason Score: 12 individual or Average of All?";"http://www.cancerforums.net/threads/39294-Gleason-Score-12-individual-or-Average-of-All";"LIBMRDUCKS";7;1;"HighlanderCFH";"http://www.cancerforums.net/members/27612-HighlanderCFH";"http://www.cancerforums.net/threads/39294-Gleason-Score-12-individual-or-Average-of-All?p=243801#post243801";"06-23-2014, 07:31 PM"
"go to doc tomorrow";"http://www.cancerforums.net/threads/18569-go-to-doc-tomorrow";"Christine9";3;2;"Christine9";"http://www.cancerforums.net/members/25841-Christine9";"http://www.cancerforums.net/threads/18569-go-to-doc-tomorrow?p=98730#post98730";"08-24-2011, 01:24 AM"
"Going into DaVinci now with surgeon Chris Ogden";"http://www.cancerforums.net/threads/34764-Going-into-DaVinci-now-with-surgeon-Chris-Ogden";"donelson";16;3;"HighlanderCFH";"http://www.cancerforums.net/members/27612-HighlanderCFH";"http://www.cancerforums.net/threads/34764-Going-into-DaVinci-now-with-surgeon-Chris-Ogden?p=213325#post213325";"11-10-2013, 03:41 PM"
"Going on vacation";"http://www.cancerforums.net/threads/42984-Going-on-vacation";"gearloose";4;1;"gearloose";"http://www.cancerforums.net/members/107088-gearloose";"http://www.cancerforums.net/threads/42984-Going-on-vacation?p=270171#post270171";"02-17-2015, 04:18 AM"
"going to hospital for test";"http://www.cancerforums.net/threads/27070-going-to-hospital-for-test";"chrisjc";7;2;"Derkie54";"http://www.cancerforums.net/members/55966-Derkie54";"http://www.cancerforums.net/threads/27070-going-to-hospital-for-test?p=157765#post157765";"11-29-2012, 06:50 PM"
"Going To Need ADT But Can't Pay";"http://www.cancerforums.net/threads/49447-Going-To-Need-ADT-But-Can-t-Pay?s=7425222891ad50eb28bb980913228222";"FeatherBoy";5;164;"ontheroad";"http://www.cancerforums.net/members/120299-ontheroad?s=7425222891ad50eb28bb980913228222";"http://www.cancerforums.net/threads/49447-Going-To-Need-ADT-But-Can-t-Pay?s=7425222891ad50eb28bb980913228222&p=322323#post322323";"Yesterday, 03:34 PM"
"Gold seed marker for radiotherapy?";"http://www.cancerforums.net/threads/43482-Gold-seed-marker-for-radiotherapy";"Kathy77";2;960;"Kathy77";"http://www.cancerforums.net/members/115052-Kathy77";"http://www.cancerforums.net/threads/43482-Gold-seed-marker-for-radiotherapy?p=274256#post274256";"03-21-2015, 02:43 AM"
"Golf?";"http://www.cancerforums.net/threads/45297-Golf";"PDV";14;3;"Pratoman";"http://www.cancerforums.net/members/71581-Pratoman";"http://www.cancerforums.net/threads/45297-Golf?p=289524#post289524";"08-29-2015, 03:23 PM"
"Good 4 Month Checkup - but 2 ED Questions";"http://www.cancerforums.net/threads/21067-Good-4-Month-Checkup-but-2-ED-Questions";"azgreywolf";6;3;"newporter";"http://www.cancerforums.net/members/21257-newporter";"http://www.cancerforums.net/threads/21067-Good-4-Month-Checkup-but-2-ED-Questions?p=118924#post118924";"02-08-2012, 01:44 AM"
"Good 6 month followup";"http://www.cancerforums.net/threads/37881-Good-6-month-followup";"Arthur";10;3;"Arthur Dent";"http://www.cancerforums.net/members/106549-Arthur-Dent";"http://www.cancerforums.net/threads/37881-Good-6-month-followup?p=234663#post234663";"04-11-2014, 12:54 AM"
"Good for my Prostate Health";"http://www.cancerforums.net/threads/46677-Good-for-my-Prostate-Health";"Pratoman";22;4;"Pratoman";"http://www.cancerforums.net/members/71581-Pratoman";"http://www.cancerforums.net/threads/46677-Good-for-my-Prostate-Health?p=299158#post299158";"12-28-2015, 03:37 PM"
"Good Luck Highlander";"http://www.cancerforums.net/threads/45970-Good-Luck-Highlander";"Pratoman";74;12;"HighlanderCFH";"http://www.cancerforums.net/members/27612-HighlanderCFH";"http://www.cancerforums.net/threads/45970-Good-Luck-Highlander?p=297283#post297283";"12-01-2015, 02:10 AM"
"Good News";"http://www.cancerforums.net/threads/17725-Good-News";"Woody";5;2;"Woody NF";"http://www.cancerforums.net/members/22992-Woody-NF";"http://www.cancerforums.net/threads/17725-Good-News?p=93457#post93457";"06-27-2011, 05:18 PM"
"Good news after Casodex?";"http://www.cancerforums.net/threads/36249-Good-news-after-Casodex";"Haliday";2;1;"bigbrad2008";"http://www.cancerforums.net/members/106810-bigbrad2008";"http://www.cancerforums.net/threads/36249-Good-news-after-Casodex?p=222666#post222666";"01-16-2014, 09:23 PM"
"Good news and horrible news";"http://www.cancerforums.net/threads/49238-Good-news-and-horrible-news";"dmcook695";2;436;"Michael F";"http://www.cancerforums.net/members/109130-Michael-F";"http://www.cancerforums.net/threads/49238-Good-news-and-horrible-news?p=320712#post320712";"10-21-2016, 12:47 PM"
"Good news in the new Year";"http://www.cancerforums.net/threads/42668-Good-news-in-the-new-Year";"Haliday";4;1;"Bravehardon";"http://www.cancerforums.net/members/106840-Bravehardon";"http://www.cancerforums.net/threads/42668-Good-news-in-the-new-Year?p=267744#post267744";"01-29-2015, 12:48 PM"
"Good news on ED";"http://www.cancerforums.net/threads/47900-Good-news-on-ED";"PDV";8;1;"Wilde";"http://www.cancerforums.net/members/113837-Wilde";"http://www.cancerforums.net/threads/47900-Good-news-on-ED?p=308916#post308916";"05-11-2016, 06:37 PM"
"Good News on the ED Front & Why is Every Man Different?";"http://www.cancerforums.net/threads/11193-Good-News-on-the-ED-Front-amp-Why-is-Every-Man-Different";"Travelingman";2;2;"denny";"http://www.cancerforums.net/members/17421-denny";"http://www.cancerforums.net/threads/11193-Good-News-on-the-ED-Front-amp-Why-is-Every-Man-Different?p=58237#post58237";"11-27-2009, 08:11 AM"
"Good news!";"http://www.cancerforums.net/threads/47817-Good-news!";"Now";14;1;"Sunshine1221";"http://www.cancerforums.net/members/116860-Sunshine1221";"http://www.cancerforums.net/threads/47817-Good-news!?p=308265#post308265";"05-02-2016, 12:48 PM"
"Good News--Bad News.";"http://www.cancerforums.net/threads/36773-Good-News-Bad-News";"Walnut";7;2;"Walnut";"http://www.cancerforums.net/members/106757-Walnut";"http://www.cancerforums.net/threads/36773-Good-News-Bad-News?p=226262#post226262";"02-12-2014, 04:22 PM"
"Good News...PSA < 0.1";"http://www.cancerforums.net/threads/20540-Good-News-PSA-lt-0-1";"Fred44";5;4;"Curt";"http://www.cancerforums.net/members/26463-Curt";"http://www.cancerforums.net/threads/20540-Good-News-PSA-lt-0-1?p=112793#post112793";"12-20-2011, 09:42 PM"
"Good Pathology report";"http://www.cancerforums.net/threads/10035-Good-Pathology-report";"srtimmons";4;2;"Jean222";"http://www.cancerforums.net/members/14717-Jean222";"http://www.cancerforums.net/threads/10035-Good-Pathology-report?p=51428#post51428";"08-13-2009, 03:39 AM"
"Good PSA";"http://www.cancerforums.net/threads/43057-Good-PSA";"Jebstart";3;1;"Pratoman";"http://www.cancerforums.net/members/71581-Pratoman";"http://www.cancerforums.net/threads/43057-Good-PSA?p=270731#post270731";"02-20-2015, 10:28 PM"
"good urologist in St. Louis area";"http://www.cancerforums.net/threads/21866-good-urologist-in-St-Louis-area";"Sippman";2;2;"FLmlp";"http://www.cancerforums.net/members/23486-FLmlp";"http://www.cancerforums.net/threads/21866-good-urologist-in-St-Louis-area?p=121849#post121849";"02-29-2012, 03:00 PM"
"Got 2nd opinion from John Hopkins";"http://www.cancerforums.net/threads/35012-Got-2nd-opinion-from-John-Hopkins";"Booo";12;3;"Flkjr";"http://www.cancerforums.net/members/104477-Flkjr";"http://www.cancerforums.net/threads/35012-Got-2nd-opinion-from-John-Hopkins?p=215202#post215202";"11-23-2013, 08:34 PM"
"Got 8 week post surgery follow-up and first PSA score today.....";"http://www.cancerforums.net/threads/45679-Got-8-week-post-surgery-follow-up-and-first-PSA-score-today";"masbirdies";10;2;"Wilde";"http://www.cancerforums.net/members/113837-Wilde";"http://www.cancerforums.net/threads/45679-Got-8-week-post-surgery-follow-up-and-first-PSA-score-today?p=290659#post290659";"09-11-2015, 01:51 PM"
"Got a new question";"http://www.cancerforums.net/threads/46982-Got-a-new-question";"Badman";12;2;"Badman";"http://www.cancerforums.net/members/118051-Badman";"http://www.cancerforums.net/threads/46982-Got-a-new-question?p=301755#post301755";"01-30-2016, 05:45 PM"
"Got ED Any suggestions";"http://www.cancerforums.net/threads/22609-Got-ED-Any-suggestions";"fallonboy";6;2;"Race";"http://www.cancerforums.net/members/28324-Race";"http://www.cancerforums.net/threads/22609-Got-ED-Any-suggestions?p=128941#post128941";"04-29-2012, 02:41 PM"
"got home";"http://www.cancerforums.net/threads/44123-got-home";"steviez";1;826;"Baz10";"http://www.cancerforums.net/members/24429-Baz10";"http://www.cancerforums.net/threads/44123-got-home?p=279652#post279652";"05-10-2015, 08:33 PM"
"Got my membership in The Zero Club!";"http://www.cancerforums.net/threads/43253-Got-my-membership-in-The-Zero-Club!";"DriscollOFD";13;3;"Ray61";"http://www.cancerforums.net/members/114612-Ray61";"http://www.cancerforums.net/threads/43253-Got-my-membership-in-The-Zero-Club!?p=278326#post278326";"04-26-2015, 11:03 PM"
"Got the news a week ago - Please tell me about Da Vinci";"http://www.cancerforums.net/threads/28680-Got-the-news-a-week-ago-Please-tell-me-about-Da-Vinci";"Larryect";18;4;"goldharv";"http://www.cancerforums.net/members/21911-goldharv";"http://www.cancerforums.net/threads/28680-Got-the-news-a-week-ago-Please-tell-me-about-Da-Vinci?p=171608#post171608";"02-08-2013, 09:06 PM"
"Grandfather had it, Father had it, ... get tested at age..?";"http://www.cancerforums.net/threads/9800-Grandfather-had-it-Father-had-it-get-tested-at-age";"trademarked";2;3;"trademarked";"http://www.cancerforums.net/members/17115-trademarked";"http://www.cancerforums.net/threads/9800-Grandfather-had-it-Father-had-it-get-tested-at-age?p=50023#post50023";"07-22-2009, 03:24 PM"
"Grandfather potentially has prostate cancer";"http://www.cancerforums.net/threads/42868-Grandfather-potentially-has-prostate-cancer";"ryguy3000";11;3;"HighlanderCFH";"http://www.cancerforums.net/members/27612-HighlanderCFH";"http://www.cancerforums.net/threads/42868-Grandfather-potentially-has-prostate-cancer?p=269453#post269453";"02-11-2015, 03:46 AM"
"Great Article about Gleason 6, New Gleason Groups";"http://www.cancerforums.net/threads/43249-Great-Article-about-Gleason-6-New-Gleason-Groups";"HighlanderCFH";24;6;"DadOf12";"http://www.cancerforums.net/members/28621-DadOf12";"http://www.cancerforums.net/threads/43249-Great-Article-about-Gleason-6-New-Gleason-Groups?p=272978#post272978";"03-10-2015, 06:38 PM"
"Great Balls of Fire";"http://www.cancerforums.net/threads/35706-Great-Balls-of-Fire";"gearloose";9;2;"gearloose";"http://www.cancerforums.net/members/107088-gearloose";"http://www.cancerforums.net/threads/35706-Great-Balls-of-Fire?p=220439#post220439";"01-01-2014, 09:34 PM"
"Great news";"http://www.cancerforums.net/threads/33618-Great-news";"billc";9;1;"lLance";"http://www.cancerforums.net/members/103736-lLance";"http://www.cancerforums.net/threads/33618-Great-news?p=205569#post205569";"09-16-2013, 01:31 AM"
